Game Title,Genre
Horizon Zero Dawn,"{'Graphics': 900, 'Physics and Collision Detection': 850, 'Level Design and World Building': 920, 'Gameplay Mechanics': 880, 'AI and NPC Behavior': 800, 'Audio': 850, 'UI and UX': 820, 'Multiplayer and Networking': 700, 'Scripting and Programming': 860}"
Assassin's Creed Valhalla,"{'Graphics': 890, 'Physics and Collision Detection': 840, 'Level Design and World Building': 900, 'Gameplay Mechanics': 870, 'AI and NPC Behavior': 790, 'Audio': 860, 'UI and UX': 810, 'Multiplayer and Networking': 0, 'Scripting and Programming': 850}"
The Legend of Zelda: Breath of the Wild,"{'Graphics': 950, 'Physics and Collision Detection': 900, 'Level Design and World Building': 930, 'Gameplay Mechanics': 910, 'AI and NPC Behavior': 850, 'Audio': 880, 'UI and UX': 870, 'Multiplayer and Networking': 0, 'Scripting and Programming': 900}"
Red Dead Redemption 2,"{'Graphics': 940, 'Physics and Collision Detection': 890, 'Level Design and World Building': 920, 'Gameplay Mechanics': 910, 'AI and NPC Behavior': 870, 'Audio': 900, 'UI and UX': 880, 'Multiplayer and Networking': 750, 'Scripting and Programming': 890}"
Spider-Man,"{'Graphics': 910, 'Physics and Collision Detection': 870, 'Level Design and World Building': 880, 'Gameplay Mechanics': 890, 'AI and NPC Behavior': 810, 'Audio': 870, 'UI and UX': 850, 'Multiplayer and Networking': 0, 'Scripting and Programming': 860}"
The Witcher 3: Wild Hunt,"{'Graphics': 850, 'Physics and Collision Detection': 800, 'Level Design and World Building': 900, 'Gameplay Mechanics': 880, 'AI and NPC Behavior': 750, 'Audio': 820, 'UI and UX': 800, 'Multiplayer and Networking': 700, 'Scripting and Programming': 850}"
Final Fantasy XV,"{'Graphics': 820, 'Physics and Collision Detection': 780, 'Level Design and World Building': 850, 'Gameplay Mechanics': 860, 'AI and NPC Behavior': 730, 'Audio': 810, 'UI and UX': 780, 'Multiplayer and Networking': 0, 'Scripting and Programming': 840}"
Skyrim,"{'Graphics': 800, 'Physics and Collision Detection': 750, 'Level Design and World Building': 860, 'Gameplay Mechanics': 870, 'AI and NPC Behavior': 720, 'Audio': 790, 'UI and UX': 760, 'Multiplayer and Networking': 0, 'Scripting and Programming': 830}"
Dragon Age: Inquisition,"{'Graphics': 840, 'Physics and Collision Detection': 790, 'Level Design and World Building': 880, 'Gameplay Mechanics': 860, 'AI and NPC Behavior': 740, 'Audio': 800, 'UI and UX': 770, 'Multiplayer and Networking': 0, 'Scripting and Programming': 850}"
Persona 5,"{'Graphics': 830, 'Physics and Collision Detection': 810, 'Level Design and World Building': 870, 'Gameplay Mechanics': 850, 'AI and NPC Behavior': 760, 'Audio': 810, 'UI and UX': 790, 'Multiplayer and Networking': 0, 'Scripting and Programming': 860}"
Call of Duty: Modern Warfare,"{'Graphics': 900, 'Physics and Collision Detection': 850, 'Level Design and World Building': 880, 'Gameplay Mechanics': 870, 'AI and NPC Behavior': 800, 'Audio': 860, 'UI and UX': 830, 'Multiplayer and Networking': 950, 'Scripting and Programming': 880}"
Battlefield V,"{'Graphics': 880, 'Physics and Collision Detection': 830, 'Level Design and World Building': 850, 'Gameplay Mechanics': 860, 'AI and NPC Behavior': 790, 'Audio': 850, 'UI and UX': 820, 'Multiplayer and Networking': 920, 'Scripting and Programming': 870}"
Overwatch,"{'Graphics': 870, 'Physics and Collision Detection': 820, 'Level Design and World Building': 860, 'Gameplay Mechanics': 880, 'AI and NPC Behavior': 800, 'Audio': 840, 'UI and UX': 810, 'Multiplayer and Networking': 930, 'Scripting and Programming': 860}"
Halo 5: Guardians,"{'Graphics': 850, 'Physics and Collision Detection': 800, 'Level Design and World Building': 870, 'Gameplay Mechanics': 860, 'AI and NPC Behavior': 780, 'Audio': 830, 'UI and UX': 800, 'Multiplayer and Networking': 910, 'Scripting and Programming': 850}"
Apex Legends,"{'Graphics': 890, 'Physics and Collision Detection': 840, 'Level Design and World Building': 880, 'Gameplay Mechanics': 870, 'AI and NPC Behavior': 810, 'Audio': 850, 'UI and UX': 820, 'Multiplayer and Networking': 940, 'Scripting and Programming': 870}"
